word,sentenceId,sentence,decision,categories,rationale,reviewType,selectionSource,seed,semanticDecisionSource,defaultLearningAppropriateness,targetTeachingValue,contextVocabularyLoad,syntaxSimplicity,standaloneClarity,topicNeutrality,naturalModernEnglish,finalEditorDecision,severeInappropriate
project,9516767,The risks of such a project would clearly outweigh any putative benefit.,reject,context-too-hard,"For project, the uncommon adjective putative is harder than the target and makes the intended sentence meaning less accessible.",phase-a-random-review,,216485889,sentence-read,NO,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,false
credit,11076065,I took out a loan to consolidate my credit card debt.,pass,,The loan and credit-card debt give credit a familiar financial meaning without requiring specialist background.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
explore,12759616,Spacecraft can travel billions of miles to explore distant planets.,pass,,"Spacecraft, miles, and planets provide a clear concrete setting for explore.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
climate,12767892,What actions are needed to combat climate change effectively?,pass,,"The direct question links climate to a familiar everyday issue, climate change, and keeps the target central.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
quota,12381034,Tom didn't meet his sales quota this month.,pass,,"A missed sales quota is a short, ordinary workplace situation that makes quota immediately clear.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
solemn,12206483,"Mary extended her little finger, sealing their agreement with a solemn pinky swear.",pass,,The pinky-swear agreement shows solemn as serious in a playful but understandable everyday contrast.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
garbage,11919291,I ate from the garbage cans on the sidewalk a lot.,pass,,"Garbage cans make the noun concrete, and the sentence is grammatically direct despite its unpleasant situation.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
optimism,8077005,Tom's wide-eyed optimism is beginning to grate on my nerves.,pass,,"Wide-eyed optimism is the cause of the speaker's irritation, clearly showing optimism as an attitude.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
generate,10903593,Researchers have devised a way to generate electricity using raw sewage and special bacteria.,pass,,Generating electricity from sewage gives generate a concrete production meaning; the scientific setting remains understandable.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
faith,6036907,"Science builds planes and skyscrapers, but faith brings them together.",reject,unnatural-English; weak-teaching-value,"The contrast between science and faith is an abstract slogan, and faith brings them together does not give a precise or natural teaching context.",phase-a-random-review,,216485889,sentence-read,NO,FAIL,PASS,PASS,PASS,PASS,FAIL,FAIL,false
poetry,9517301,Old English poetry was based on alliteration rather than end rhyme.,pass,,The comparison of alliteration and end rhyme places poetry in a clear literary form; the sentence is a complete modern explanation.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
detail,11383950,Tom was able to describe the room in detail from memory.,pass,,Describing a room from memory demonstrates detail in its ordinary meaning of specific information.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
assume,11240477,"To prevent road rage, assume there will always be assholes on the road.",reject,other,"The target assume is understandable, but road rage and the profanity add unnecessary hostile emotional load to a default learning example.",phase-a-random-review,,216485889,sentence-read,NO,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,false
routine,12768410,Mary's skincare routine is her daily moment of peace.,pass,,"A daily skincare routine and a moment of peace give routine a clear, contemporary habit context.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
