word,sentenceId,sentence,decision,categories,rationale,reviewType,seed,severeInappropriate
abandon,12338135,We can't abandon our principles out of moral lassitude.,reject,context-too-hard,The surrounding vocabulary or technical background is substantially harder than the target word.,risk-targeted,,false
abnormal,12188741,Mental illness is a normal response to abnormal circumstances.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
abolish,5059670,"If God really existed, it would be necessary to abolish him.",reject,religious-heavy,The sentence depends on a religious controversy or background that is unnecessary for the target word.,risk-targeted,,false
abstract,12777304,He sculpts abstract figures from clay.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
abundance,11620143,I went to my garden and found abundance.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
abundant,9954436,"Where population is balanced and abundant, much childbearing becomes an evil rather than a blessing to the State.",reject,context-too-hard; political-heavy,The surrounding vocabulary or technical background is substantially harder than the target word. The sentence depends on a politically charged dispute or institutional background that is unnecessary for the target word.,risk-targeted,,false
accessory,12490216,Tom wears glasses purely as a fashion accessory.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
accommodate,10460391,"Unfortunately, we're unable to accommodate your request.",pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
accumulate,11178247,"Local business owners clean the beach each morning, but the trash begins to accumulate shortly after.",pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
accurate,12302767,Hair samples offer a simple but accurate test as to whether anti-retrovirals are suppressing the virus.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
addict,11959606,I used to be an addict.,reject,medical-heavy; other,The personal statement about being an addict makes the example emotionally and medically loaded without enough teaching context for the target.,risk-targeted,,false
additional,11689796,A subordinating clause is a part of a sentence that adds additional information to the main clause.,reject,context-too-hard,The surrounding vocabulary or technical background is substantially harder than the target word.,risk-targeted,,false
adequate,12190656,"The backrest should conform to the natural curvature of your spine, and provide adequate lumbar support.",pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
adhere,11986511,Security forces fear that hardliners among the demonstrators may not adhere to such promises.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
administration,12063836,The president has promised a more austere administration than that of his predecessor.,reject,political-heavy; context-too-hard,The sentence depends on a politically charged dispute or institutional background that is unnecessary for the target word. The surrounding vocabulary or technical background is substantially harder than the target word.,risk-targeted,,false
adopt,11702461,"If you wouldn't support your kid if they came out as gay, you shouldn't adopt.",reject,political-heavy; weak-teaching-value,"The sentence depends on a politically charged dispute or institutional background that is unnecessary for the target word. The target word is incidental, ambiguous, or too weakly illustrated to justify the context burden.",risk-targeted,,false
advantage,11380634,A schmuck is someone who is easily taken advantage of.,reject,context-too-hard; weak-teaching-value,"The surrounding vocabulary or technical background is substantially harder than the target word. The target word is incidental, ambiguous, or too weakly illustrated to justify the context burden.",risk-targeted,,false
aerial,12080130,It almost seems as though this freestyle aerial skier has no more mountains to conquer in his sport.,reject,specialist-background; context-too-hard,Freestyle aerial skiing is a specialized sport context that makes aerial harder than necessary for a default learner.,risk-targeted,,false
afflict,11254030,These diseases afflict the poorest and most marginalized communities in the country.,reject,medical-heavy; political-heavy,Diseases afflicting marginalized communities adds medical and social-policy load that is unnecessary for afflict.,risk-targeted,,false
aggregate,11034211,An aggregate of this bark compressed into a stopper shape is forced into the anus as a treatment for piles.,reject,sexual; medical-heavy,The sentence describes an explicit medical treatment involving the anus and piles.,risk-targeted,,false
aggressive,11541536,J.K. Rowling uses aggressive litigation to silence her critics.,reject,political-heavy,The sentence depends on a politically charged dispute or institutional background that is unnecessary for the target word.,risk-targeted,,false
alert,11048125,Two of the hardest-hit U.S. regions have raised the alert level over the monkeypox outbreak.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
alienate,12015551,We alienate ourselves from what's good about us and project it onto God.,reject,context-too-hard; weak-teaching-value,"The surrounding vocabulary or technical background is substantially harder than the target word. The target word is incidental, ambiguous, or too weakly illustrated to justify the context burden.",risk-targeted,,false
alliance,12765146,The intergalactic alliance was in danger of collapsing.,reject,fantastical-context; weak-teaching-value,"An intergalactic alliance is a science-fiction setting, so alliance is not grounded in a normal default-learning context.",risk-targeted,,false
alter,9940629,"If we alter the construction of such sentences, the missing antecedent is often restored.",reject,specialist-background; context-dependent,"Construction, sentences, and a missing antecedent require grammar analysis that is much harder than alter.",risk-targeted,,false
alternate,11923954,I was born with the ability to detect nearby alternate realities.,reject,fantastical-context; weak-teaching-value,Alternate realities are a fantasy premise that makes alternate unclear as a useful ordinary contrast.,risk-targeted,,false
