word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
abandon,ә'bændәn,"n. the trait of lacking restraint or control; reckless freedom from inhibition or worry\nv. forsake, leave behind\nv. give up with the intent of never claiming again\nv. stop maintaining or insisting on; of ideas or claims","vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵\nn. 放任, 无拘束, 狂热",,3,1,gk cet4 cet6 ky toefl gre,2057,2182,d:abandoned/p:abandoned/i:abandoning/3:abandons,,
abnormal,æb'nɒ:mәl,a. not normal; not typical or usual or regular or conforming to a norm\na. departing from the normal in e.g. intelligence and development\ns. much greater than the normal,"a. 反常的, 不规则的, 变态的, 畸形的\nn. 畸形的人",,1,,gk cet4 cet6 ky toefl ielts,6548,8241,s:abnormals,,
abolish,ә'bɒliʃ,v. do away with,"vt. 废止, 革除, 消灭\n[经] 废除, 取消, 裁撤",,2,,gk cet6 ky toefl ielts gre,3736,7490,d:abolished/i:abolishing/p:abolished/3:abolishes,,
abortion,ә'bɒ:ʃәn,n. termination of pregnancy,"n. 流产, 堕胎, 失败, 夭折, 中止\n[医] 流产, 小产; 顿挫",,3,,gk ielts,4341,1969,s:abortions,,
abrupt,ә'brʌpt,s. marked by sudden changes in subject and sharp transitions\ns. exceedingly sudden and unexpected\ns. extremely steep\ns. surprisingly and unceremoniously brusque in manner,"a. 突然的, 唐突的, 陡峭的, 不连贯的",,2,,gk cet6 ky toefl ielts gre,8560,8703,,,
absence,'æbsәns,"n. the state of being absent\nn. failure to be present\nn. the time interval during which something or somebody is away\nn. the occurrence of an abrupt, transient loss or impairment of consciousness (which is not subsequently remembered), sometimes with light twitching, fluttering eyelids, etc.; common in petit mal epilepsy","n. 缺席, 缺乏, 没有\n[医] 失神",,3,1,gk cet4 cet6 ky toefl,1585,2524,s:absences,,
absorb,әb'sɒ:b,"v. become imbued\nv. take up mentally\nv. take up, as of debts or payments\nv. take in, also metaphorically","vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担\n[医] 吸收",,2,1,gk cet4 cet6 ky toefl ielts gre,2879,3120,d:absorbed/p:absorbed/3:absorbs/i:absorbing,,
abstract,'æbstrækt,v. consider a concept without thinking of a specific example; consider abstractly or theoretically\nv. consider apart from a particular case or instance\nv. give an abstract (of)\na. existing only in the mind; separated from embodiment,"a. 抽象的, 深奥的\nn. 摘要, 抽象概念\nvt. 摘要, 提炼, 使抽象化\n[计] 摘录; 摘要; 抽象",,2,,gk cet4 cet6 ky toefl ielts gre,3729,4007,s:abstracts/d:abstracted/i:abstracting/3:abstracts/p:abstracted,,
absurd,әb'sә:d,n. a situation in which life seems irrational and meaningless\ns. inconsistent with reason or logic or common sense\ns. incongruous; inviting ridicule,"a. 荒谬的, 不合理的, 可笑的\nn. 荒诞",,2,,gk cet6 ky toefl ielts gre,5676,5901,s:absurds,,
abundance,ә'bʌndәns,n. the property of a more than adequate quantity or supply\nn. (physics) the ratio of the number of atoms of a specific isotope of an element to the total number of isotopes present\nn. (chemistry) the ratio of the total mass of an element in the earth's crust to the total mass of the earth's crust; expressed as a percentage or in parts per million,"n. 丰富, 充足, 大量\n[经] 丰富, 充裕",,1,,cet6 ky toefl ielts gre,7038,5425,s:abundances,,
abundant,ә'bʌndәnt,a. present in great quantity,"a. 丰富的, 充分的, 大量的",,1,,gk cet4 ky toefl gre,7823,6223,,,
abuse,ә'bju:s.ә'bju:z,n. a rude expression intended to offend or hurt\nv. use foul or abusive language towards\nv. use wrongly or improperly or excessively,"n. 滥用, 虐待, 恶习, 辱骂\nvt. 滥用, 辱骂, 虐待",,4,1,gk cet4 cet6 ky toefl ielts gre,2352,1540,d:abused/s:abuses/i:abusing/3:abuses/p:abused,,
academic,.ækә'demik,a. associated with academia or an academy\ns. hypothetical or theoretical and not expected to produce an immediate or practical result\ns. marked by a narrow focus on or display of learning especially its trivial aspects,"a. 学院的, 学术的, 不切实际的\nn. 大学生, 大学教师, 学者, 学会会员",,3,1,gk cet4 cet6 ky toefl ielts gre,1941,1465,s:academics,,
accelerate,әk'selәreit,v. move faster\nv. cause to move faster,"v. 加速, 促进",,2,,gk cet4 cet6 ky toefl ielts gre,5328,4925,p:accelerated/d:accelerated/i:accelerating/3:accelerates,,
acceptance,әk'septәns,n. the state of being acceptable and accepted\nn. (contract law) words signifying consent to the terms of an offer (thereby creating a contract)\nn. banking: a time draft drawn on and accepted by a bank\nn. the act of taking something that is offered,"n. 接受, 接纳, 承认, 同意, 赞同, 容忍, 相信\n[经] 承兑, 认付, (工程)验收",,2,,cet4 cet6 ky,2899,3443,s:acceptances,,
access,'ækses,n. the right to obtain or make use of or take advantage of something (as services or membership)\nn. a way of entering or leaving\nn. a code (a series of characters or digits) that must be entered in some way (typed or dialed or spoken) to get the use of something (a telephone line or a computer or a local area network etc.)\nn. (computer science) the operation of reading or writing stored information,"n. 通路, 入口, 接近, 进入, 使用权, 发作\nvt. 访问, 存取, 接近, 使用\n[计] 访问, 存取",,3,1,gk cet4 cet6 ky toefl ielts gre,999,1113,d:accessed/i:accessing/3:accesses/s:accesses/p:accessed,,
