index,word,sentenceId,sentence,decision,categories,rationale,severeInappropriate
0,drill,12765196,They maintained order during the citywide emergency drill.,pass,[],"Maintaining order during an emergency drill gives drill a clear, ordinary practice-event meaning.",false
1,irony,12772555,Can you see the irony in this situation?,pass,[],The direct question asks the learner to identify irony in a familiar situation and keeps the target central.,false
2,generous,11027274,Her seemingly generous actions turned out to be motivated purely by profit.,pass,[],Actions that look generous but have a profit motive clearly illustrate the target contrast.,false
3,stump,12389891,There's a tree stump at the bottom of the lake.,pass,[],"A tree stump at the bottom of a lake is a concrete, self-contained noun context.",false
4,beyond,12759685,Explorers may one day travel beyond our solar system to other stars.,pass,[],Traveling beyond the solar system gives beyond a clear spatial-extension meaning.,false
5,region,12765292,They worked to ensure that peace was maintained across the region.,pass,[],Peace being maintained across a region gives region a simple geographic meaning.,false
6,complain,9805215,How do I complain about my dental treatment?,pass,[],The question about complaining about dental treatment is an ordinary service problem that clearly shows complain.,false
7,spice,9942974,Tom bought a new kind of pasta from the store to spice things up a bit.,pass,[],Spice things up is a common figurative expression built on the familiar food meaning of spice.,false
8,poverty,11522329,Bangladesh has made significant progress in reducing poverty and improving health and education in recent years.,pass,[],The country example connects poverty to concrete progress in health and education without needing political background.,false
9,autonomous,10966305,"Like their counterparts on land, autonomous ships are emerging as a new way to traverse the world's oceans.",pass,[],Autonomous ships provide a current but intelligible example of autonomous systems operating independently.,false
10,pitch,11237474,The sales pitch didn't go well.,pass,[],A sales pitch not going well is a familiar workplace situation that directly illustrates pitch.,false
11,defeat,12764886,The game ended in a devastating defeat.,pass,[],"A game ending in defeat is a short, direct result context for defeat.",false
12,factor,11166959,The relevance of sport as a factor for integration of socially disadvantaged groups cannot be underestimated.,pass,[],Sport as a factor in social integration gives factor a clear cause or contributing-element meaning.,false
13,enormous,9998017,This enormous longhorn beetle is found around mango and fig trees.,pass,[],An enormous beetle among familiar plants gives enormous a concrete size meaning.,false
14,ancient,12767953,Mary enjoyed exploring ancient ruins during her travels.,pass,[],Exploring ancient ruins is a common travel context that directly demonstrates ancient.,false
15,attitude,11056703,"Unmasked and helpless, she maintained an attitude of challenge and defiance.",pass,[],An attitude of challenge and defiance gives attitude a clear way-of-facing-something meaning.,false
16,process,11102781,The evaporation process creates a drop in temperature of several degrees.,pass,[],"Evaporation creating a temperature drop is a clear, readable science process that directly shows process.",false
17,facet,11062533,Lion dances are a facet of traditional Chinese culture.,pass,[],Lion dances as one facet of a culture gives facet a clear part-of-a-whole meaning.,false
18,original,11751685,The band played a mix of covers and original songs.,pass,[],A band playing covers and original songs gives original a familiar music contrast.,false
19,acid,10058430,I choked on some stomach acid and woke up.,pass,[],"Choking on stomach acid is unpleasant but simple, direct, and clearly demonstrates acid as a substance.",false
20,chase,10171525,My cat likes to chase the mouse cursor.,pass,[],"A cat chasing a cursor gives chase a concrete, harmless everyday action.",false
21,jog,11653905,Tom accidentally stepped in dog poop on his morning jog.,pass,[],"A morning jog interrupted by dog poop is a clear, ordinary activity context for jog.",false
22,approach,12759915,Tom often finds himself inspired by Mary's approach to learning.,pass,[],"A person's approach to learning is a natural, relevant use that clearly shows approach as a method.",false
23,fertilizer,11233041,Algal overload is common in waterways worldwide caused by fertilizer runoff and poor sewage management.,pass,[],Fertilizer runoff and sewage management provide a coherent environmental context in which fertilizer is central.,false
24,domestic,11309260,The cheetah is very closely related to the domestic cat.,pass,[],The cheetah and domestic cat comparison gives domestic a familiar household-animal contrast.,false
25,rely,12042018,"People rely on ferries for transportation in Bangladesh, a low-lying nation with hundreds of rivers.",pass,[],Relying on ferries in a river-filled country gives rely a clear transportation dependence meaning.,false
26,cabinet,10139357,Tom peeked into Mary's medicine cabinet.,pass,[],"Peeking into a medicine cabinet is a familiar household action that gives cabinet a clear, concrete storage meaning.",false
27,extensive,10169351,"After an extensive investigation, Tom was cleared of any wrongdoing.",pass,[],An extensive investigation clearing someone of wrongdoing is a complete and familiar institutional context.,false
28,cycle,12778582,Can we ever break free from the cycle of existence?,pass,[],Breaking a cycle of existence gives cycle a clear repeated-pattern meaning in an understandable abstract question.,false
29,management,12767964,Tom is improving his crisis management skills at work.,pass,[],"Crisis-management skills at work give management a direct, modern workplace use.",false
30,galaxy,12765133,The space explorers discovered a new planet in the galaxy.,pass,[],A new planet in a galaxy is a simple astronomy context that makes galaxy concrete.,false
31,sake,12768629,"We seek knowledge not for its own sake, but for wisdom.",pass,[],Knowledge pursued for its own sake is a common phrase that clearly demonstrates sake.,false
32,extent,11083766,Extend your legs only to the extent of your space.,pass,[],Extending legs to a certain extent gives extent a direct measure-of-range meaning.,false
33,elite,9365572,Tom went to an elite preparatory school.,pass,[],An elite preparatory school is a straightforward education context that makes elite clear.,false
34,sponge,11032606,Could you pass me that sponge?,pass,[],"Passing a sponge is a short, ordinary household request with the target unambiguous.",false
35,radius,12426332,What is the radius of a hydrogen atom?,pass,[],The radius of a hydrogen atom gives radius a precise but accessible scientific meaning.,false
36,defiance,11056703,"Unmasked and helpless, she maintained an attitude of challenge and defiance.",pass,[],A challenging attitude accompanied by defiance makes defiance clear in a complete narrative description.,false
37,texture,11696287,"The taste is fine, but the texture is awful.",pass,[],Bad texture compared with acceptable taste gives texture a concrete sensory meaning.,false
38,wedge,10721994,Try a sliced apple with a lowfat cheese wedge.,pass,[],A cheese wedge is a concrete food shape that gives wedge an immediate physical meaning.,false
39,sensitive,11740650,Tom has been showing more of his sensitive side lately.,pass,[],Showing a sensitive side is a natural interpersonal use that directly illustrates sensitive.,false
40,appeal,11051474,I'm trying to appeal to the reasonable side of people.,pass,[],Appealing to people's reasonable side gives appeal a clear interpersonal persuasion meaning.,false
