word,en,sentenceId,qualityScore,standalone,nonTargetVocabulary,neutralTopic,simpleSyntax,teachingValue,severeInappropriate,passed,notes
treaty,Ratification of the treaty by all parties is required before it can go into effect.,11644990,85,true,true,true,true,true,false,true,
volume,Could you turn the volume up? I can't make out what they're saying from my apartment.,10077494,82,true,true,true,true,true,false,true,
sticky,When flaxseeds are wet they become very sticky on the outside.,11545071,90,true,true,true,true,true,false,true,rare context tokens=1
unfold,Fold and unfold along each of the lines to make a crease.,10765107,95,true,true,true,true,true,false,true,
absence,Can peace be found in the absence of conflict?,12777813,92,true,true,true,true,true,false,true,
witness,"The mountains stand tall, bearing witness to time.",12769231,85,true,true,true,true,true,false,true,
ego,Elevation requires letting go of ego.,12766820,63,true,true,true,true,true,false,true,
appropriate,Remember to end every sentence with an appropriate punctuation mark.,11236017,96,true,true,true,true,true,false,true,
recover,Will the economy recover from the global recession?,12766071,90,true,true,true,true,true,false,true,
combination,I forgot the combination to my locker.,10016622,76,true,true,true,true,true,false,true,
coincidence,Was this all just a coincidence?,12772635,63,true,true,true,true,true,false,true,
account,Someone hacked into my account and changed the password.,10054440,93,true,true,true,true,true,false,true,
faith,Tom left the ministerial profession after suffering a crisis of faith.,12146348,89,true,true,true,true,true,false,true,
stroll,Are the royal gardens prepared for the evening stroll?,12775821,82,true,true,true,true,true,false,true,
object,"If money was no object, what would you do all day?",9805807,92,true,true,true,true,true,false,true,
breach,Did the cybersecurity breach affect the whole network?,12766137,90,true,true,true,true,true,false,true,
boring,"The lecture was pretty boring, so I started to doze off.",12406383,93,true,true,true,true,true,false,true,
tissue,Surgeons can use the adhesive to reconnect skin and tissue inside the body.,11165195,94,true,true,true,true,true,false,true,
species,How do you know humans are the only species using the Internet?,12479338,96,true,true,true,true,true,false,true,
contaminate,David Paige says it is important not to contaminate Mars with a microbe that could spread.,11148934,50,true,true,true,true,true,false,true,proper-noun penalty=2; rare context tokens=1
implication,I resent your implication that I am engaged to you only because of your money.,12095704,85,true,true,true,true,true,false,true,
minimize,Crisis planning helps minimize the impact of unexpected events.,12767977,93,true,true,true,true,true,false,true,
van,I just saw this van going full pelt down the middle of the road...,11075994,91,true,true,true,true,true,false,true,
symposium,Tom is attending a writers' symposium in Boston.,12272801,77,true,true,true,true,true,false,true,proper-noun penalty=1
force,Is love the most powerful force in the universe?,12778540,92,true,true,true,true,true,false,true,
inventory,I stock items and take inventory.,11885113,63,true,true,true,true,true,false,true,
pledge,Five is too young to pledge allegiance to a flag.,11516152,95,true,true,true,true,true,false,true,
burden,To know the truth is both a gift and a burden.,12773473,87,true,true,true,true,true,false,true,
foresee,I don't foresee ever being able to go to Boston.,10094907,82,true,true,true,true,true,false,true,proper-noun penalty=1
cope,She found healing through teaching others to cope.,12764976,70,true,true,true,true,true,false,true,standalone penalty=10
slippery,Patricia's car skidded on a slippery spot on the road and spun completely around twice.,11663738,77,true,true,true,true,true,false,true,rare context tokens=1
graduate,Sandra began her community service after earning a graduate degree in gerontology.,11829784,98,true,true,true,true,true,false,true,
occur,"Does your academic record reflect any major challenges? If so, what are they and why did they occur?",9805541,61,true,true,true,true,true,false,true,
toss,I'm going to toss another log on the fire.,11011223,86,true,true,true,true,true,false,true,
flatter,People flatter the elephant and trample the ant.,8208358,85,true,true,true,true,true,false,true,
versus,"She found what she called a ""small but significant"" difference in reading text from screen versus paper.",10873733,61,true,true,true,true,true,false,true,standalone penalty=10
overhead,"Migrant birds such as the sandhill crane fly overhead, moving south.",12364859,86,true,true,true,true,true,false,true,rare context tokens=1
warrant,Tom told the cop to come back when he had a warrant.,10143061,85,true,true,true,true,true,false,true,
mental,Tom is a patient advocate for people with mental health conditions.,12187297,99,true,true,true,true,true,false,true,
analysis,Should we remove the outliers from our analysis?,9962947,71,true,true,true,true,true,false,true,rare context tokens=1
endurance,The space journey tested their skills and endurance.,12765387,80,true,true,true,true,true,false,true,
mutual,Tom thinks that open communication is key to mutual learning.,12759817,92,true,true,true,true,true,false,true,
invest,Did the company invest in better cybersecurity tools?,12766163,90,true,true,true,true,true,false,true,
overhear,How charmed I am when I overhear a German word which I understand!,552742,82,true,true,true,true,true,false,true,proper-noun penalty=1
concept,The concept of space tourism is becoming more realistic each year.,12759709,95,true,true,true,true,true,false,true,
cereal,"To each his own cereal! Who peas, who lentils!",9903103,87,true,true,true,true,true,false,true,
abnormal,Mental illness is a normal response to abnormal circumstances.,12188741,71,true,true,false,true,true,false,false,topic penalty=18
sprinkle,"As a final touch, sprinkle some chocolate chips on top of the cookies.",8773731,89,true,true,true,true,true,false,true,
recognition,Together we can make voice recognition better for everyone.,8310504,93,true,true,true,true,true,false,true,
staple,Staple a note on the bag that says it's your lunch.,10722091,87,true,true,true,true,true,false,true,
cognitive,Cognitive behavioral therapy doesn't work for everything or everyone.,11969319,66,true,true,false,true,true,false,false,topic penalty=18
scrap,You are like someone who builds a house from scrap lumber.,8781948,94,true,true,true,true,true,false,true,
pudding,Nasa's aerogels are made from a special silica glass gel that's been mixed to the consistency of pudding.,12372699,57,true,true,true,true,true,false,true,rare context tokens=1
norm,She questions the norm with courage.,12776599,63,true,true,true,true,true,false,true,standalone penalty=10
migrate,Some birds migrate to roost during specific seasons.,9935723,90,true,true,true,true,true,false,true,
scratch,What are the symptoms of cat scratch fever?,11448803,80,true,true,true,true,true,false,true,
aspect,The crisis affected every aspect of their lives.,12765015,89,true,true,true,true,true,false,true,
orient,You need a map to orient yourself.,10930666,72,true,true,true,true,true,false,true,
recede,Spain is following Italy in talking about scaling back coronavirus restrictions as its numbers start to recede.,11165121,55,true,true,true,true,true,false,true,proper-noun penalty=1
strive,Do you strive to be the best version of yourself?,12776148,95,true,true,true,true,true,false,true,
transfer,Tom is hoping to transfer from his community college to a four-year college.,10234390,94,true,true,true,true,true,false,true,
optimistic,"Being optimistic could lengthen your life, a new study suggests.",11473150,79,true,true,true,true,true,false,true,rare context tokens=1
plaster,Can I travel on a plane if I have a plaster cast?,9805498,91,true,true,true,true,true,false,true,
compare,Tom often shares his notes with Mary to compare their interpretations.,12759852,87,true,true,true,true,true,false,true,proper-noun penalty=1
buck,The burgers cost a buck apiece.,12331145,61,true,true,true,true,true,false,true,rare context tokens=1
interpret,I decided to interpret your remark in the most literal way possible.,10129480,96,true,true,true,true,true,false,true,
current,What do you know about the current trends in our nation's healthcare system?,9805546,94,true,true,true,true,true,false,true,
opponent,Tom made his opponent tap out.,10819676,73,true,true,true,true,true,false,true,
flip,Tom replaced his smartphone with a cheap flip phone.,10059979,88,true,true,true,true,true,false,true,
release,"The group called for the creation of fish hatcheries that would release ""fingerlings"" into the old spawning grounds.",12414127,55,true,true,true,true,true,false,true,rare context tokens=2
deny,Tom can neither confirm nor deny any of the claims made about him.,12141775,94,true,true,true,true,true,false,true,
collision,"After the collision, Tom and Mary exchanged insurance information.",10142197,65,true,true,true,true,true,false,true,proper-noun penalty=2
effective,What are the most effective ways to manage a crisis?,12768009,95,true,true,true,true,true,false,true,
tile,The wind tore the ridge tile from me.,9181186,83,true,true,true,true,true,false,true,
advocate,Tom is a patient advocate for people with mental health conditions.,12187297,99,true,true,true,true,true,false,true,
insight,"Whenever I've felt there was no hope, I waited and gained new insight.",8993583,79,true,true,true,true,true,false,true,
refute,It is much harder to refute a lie than to tell one.,11986639,85,true,true,true,true,true,false,true,standalone penalty=10
vary,"My thoughts on life vary with my mood, and I have a mood disorder.",12128440,86,true,true,true,true,true,false,true,
vice,"Young Tom would've hated old Tom, and vice versa.",11371764,59,true,true,true,true,true,false,true,proper-noun penalty=2
immune,You're not immune to the virus.,10354036,73,true,true,true,true,true,false,true,
orbit,Space stations are like floating laboratories in orbit around Earth.,12759671,96,true,true,true,true,true,false,true,
texture,"The taste is fine, but the texture is awful.",11696287,82,true,true,true,true,true,false,true,
negative,Just because a comment is negative doesn't mean it's true.,9320591,95,true,true,true,true,true,false,true,
profession,Tom left the ministerial profession after suffering a crisis of faith.,12146348,99,true,true,true,true,true,false,true,
verdict,Will the court reach a fair verdict?,12766041,42,true,true,false,true,true,false,false,topic penalty=24
desire,I wish you lots of bright stars and all the flowers you desire.,8738510,83,true,true,true,true,true,false,true,
blaze,Tom wanted to go out in a blaze of glory.,10844059,89,true,true,true,true,true,false,true,
electronic,It can be used as a lubricant for machines or electronic parts.,11100971,82,true,true,true,true,true,false,true,standalone penalty=10
annual,The royal family gathered for the annual portrait.,12775977,86,true,true,true,true,true,false,true,
tow,How much money can you make as a tow truck driver?,12308532,97,true,true,true,true,true,false,true,
rely,"People rely on ferries for transportation in Bangladesh, a low-lying nation with hundreds of rivers.",12042018,62,true,true,true,true,true,false,true,proper-noun penalty=1
acceptance,Reading this sentence constitutes acceptance of its terms and conditions.,11558339,97,true,true,true,true,true,false,true,
resume,I've made some changes to my resume.,10087374,66,true,true,true,true,true,false,true,
spouse,"Mary is my spouse, and I am their husband.",8811887,81,true,true,true,true,true,false,true,
grief,Grief can mess you up if you're not careful.,11558944,77,true,true,true,true,true,false,true,
beneficial,Further discussion of this topic is unlikely to be beneficial.,10770595,86,true,true,true,true,true,false,true,
infinite,Do we live in a world of infinite possibilities?,12778581,88,true,true,true,true,true,false,true,
commit,"If you commit a crime, don't post about it online.",11563914,66,true,true,false,true,true,false,false,topic penalty=24
chord,Jazz is characterized by improvisation on chord progressions.,12267769,71,true,true,true,true,true,false,true,rare context tokens=2
finite,Is the universe infinite or finite?,12777760,63,true,true,true,true,true,false,true,
adhere,Security forces fear that hardliners among the demonstrators may not adhere to such promises.,11986511,84,true,true,true,true,true,false,true,rare context tokens=1
gorgeous,Have you ever hated someone for being gorgeous?,12260989,79,true,true,true,true,true,false,true,
brilliant,It's not a particularly brilliant revelation of mine.,10545401,80,true,true,true,true,true,false,true,standalone penalty=10
decent,It's hard to get decent information about what you're supposed to do.,12003516,86,true,true,true,true,true,false,true,standalone penalty=10
poverty,Bangladesh has made significant progress in reducing poverty and improving health and education in recent years.,11522329,80,true,true,true,true,true,false,true,
design,I do graphic design for some T-shirt sites.,10363149,76,true,true,true,true,true,false,true,rare context tokens=1
complain,How do I complain about my dental treatment?,9805215,84,true,true,true,true,true,false,true,
attitude,"Unmasked and helpless, she maintained an attitude of challenge and defiance.",11056703,86,true,true,true,true,true,false,true,rare context tokens=1
predict,Futurists try to predict how changes in the world will impact society.,12034353,88,true,true,true,true,true,false,true,rare context tokens=1
indefinite,Tom's band is on an indefinite hiatus.,9416088,72,true,true,true,true,true,false,true,
acquire,You can't acquire a language without consuming it.,13036756,90,true,true,true,true,true,false,true,
detection,I'm testing whether the language detection works again.,3289035,90,true,true,true,true,true,false,true,
commitment,Improvement is a commitment to yourself.,12767818,74,true,true,true,true,true,false,true,
contribute,Tom believes every garden should contribute to the ecosystem.,12768002,93,true,true,true,true,true,false,true,
swamp,I don't mean to swamp you.,10545400,68,true,true,true,true,true,false,true,
aid,Tom provided first aid to injured civilians during the emergency.,12765295,96,true,true,true,true,true,false,true,
academic,Jordan Peterson's academic work is extremely postmodern.,11881622,83,true,true,true,true,true,false,true,
brink,The crisis had pushed them to the brink of despair.,12765073,95,true,true,true,true,true,false,true,
enclosure,Tom fell into the lion enclosure.,12308182,63,true,true,true,true,true,false,true,
intersection,The light was still yellow when the car entered the intersection.,11166818,88,true,true,true,true,true,false,true,
rigorous,Tom is following a rigorous training regimen.,9986010,82,true,true,true,true,true,false,true,
lane,This is the right lane to be in.,11021342,73,true,true,true,true,true,false,true,standalone penalty=10
corporate,I can't decide whether to invest in a corporate bond or a gilt.,9004057,93,true,true,true,true,true,false,true,
ore,Where do you find tungsten ore?,10206143,63,true,true,true,true,true,false,true,
similar,I'm here to help you as someone who has gone through similar experiences.,12140227,90,true,true,true,true,true,false,true,
survival,Is there enough food for survival on the island?,12766032,92,true,true,true,true,true,false,true,
classical,Do you enjoy listening to classical music?,12777190,72,true,true,true,true,true,false,true,
privacy,Privacy protects the essence of who we are.,12767857,74,true,true,true,true,true,false,true,
cylinder,The hydraulic cylinder was the main problem and was changed to a new one.,10723434,92,true,true,true,true,true,false,true,
imaginary,"Tom isn't real, John. He's your imaginary friend.",12335008,69,true,true,true,true,true,false,true,proper-noun penalty=1
drag,Jokes are funnier when you drag them out.,11376709,84,true,true,true,true,true,false,true,
invert,"Tap the ""A"" button to add a blue filter and invert colors so light becomes dark and dark becomes light.",11224170,68,true,true,true,true,true,false,true,
graphic,I do graphic design for some T-shirt sites.,10363149,76,true,true,true,true,true,false,true,rare context tokens=1
accessory,Tom wears glasses purely as a fashion accessory.,12490216,79,true,true,true,true,true,false,true,
arbitrary,"A fetal ""heartbeat"" is a more arbitrary standard than viability.",12050919,93,true,true,true,true,true,false,true,
lease,We're signing a new lease on Sunday.,10054477,66,true,true,true,true,true,false,true,standalone penalty=10
discipline,The popular conception of evolutionary psychology is even less scientific than the discipline itself.,11168053,87,true,true,true,true,true,false,true,
comply,You have a duty not to comply with an unlawful order.,12470588,97,true,true,true,true,true,false,true,
destination,Is happiness found in the journey or the destination?,12778564,82,true,true,true,true,true,false,true,
trend,"The gap between the rich and poor widens, and it is a concerning trend.",11111945,69,true,true,true,true,true,false,true,rare context tokens=1
denial,I was in denial of being an emo kid.,11538966,78,true,true,true,true,true,false,true,rare context tokens=1
prototype,The test launch and landing of the starship prototype Tuesday ended in a crash for the second time since December.,11017157,70,true,true,true,true,true,false,true,
instance,You can't access an instance variable from a static method.,12197780,95,true,true,true,true,true,false,true,
jog,Tom accidentally stepped in dog poop on his morning jog.,11653905,85,true,true,true,true,true,false,true,
bulk,It's cheaper if you buy in bulk.,10750477,55,true,true,true,true,true,false,true,standalone penalty=10
terrain,The stunning photos reveal a complex and varied terrain on the icy dwarf planet.,10820386,92,true,true,true,true,true,false,true,
accumulate,"Local business owners clean the beach each morning, but the trash begins to accumulate shortly after.",11178247,76,true,true,true,true,true,false,true,
setback,He sees opportunity in every setback.,12776199,53,true,true,true,true,true,false,true,standalone penalty=10
trademark,Trademark protection extends only to national borders.,11466947,72,true,true,true,true,true,false,true,
lever,The machine gives a food reward when your rat presses a lever.,10723407,86,true,true,true,true,true,false,true,
drain,I pulled a huge hair clog out of the bathroom sink drain.,12401431,85,true,true,true,true,true,false,true,
supplementary,You may need a supplementary dose after six months.,10352324,92,true,true,true,true,true,false,true,
pitch,The sales pitch didn't go well.,11237474,73,true,true,true,true,true,false,true,
electric,Electric motors deliver strong acceleration because they offer more torque than equivalent gasoline engines.,10274991,80,true,true,true,true,true,false,true,
vegetation,The vegetation changes and becomes sparser as temperatures rise and conditions get drier.,12382543,82,true,true,true,true,true,false,true,rare context tokens=1
midst,I seek calm in the midst of chaos.,12770660,83,true,true,true,true,true,false,true,
initial,It's not the initial cost that worries me. It's the upkeep.,10463318,80,true,true,true,true,true,false,true,rare context tokens=1; standalone penalty=10
vast,One of the great things about the Internet is the vast array of websites that cater to every conceivable interest.,10986615,62,true,true,true,true,true,false,true,rare context tokens=1
financial,I am once again asking for your financial support.,9949953,88,true,true,true,true,true,false,true,
alleviate,Tom has to perform elaborate rituals to alleviate his fear of spontaneous combustion.,6121835,95,true,true,true,true,true,false,true,
majority,The wonder is that the majority of the emigrants continued their westward journey.,12364652,95,true,true,true,true,true,false,true,
reject,Tom rejected Mary before she could reject him.,11621317,73,true,true,true,true,true,false,true,proper-noun penalty=1
oxygen,Do we need more oxygen tanks?,12774938,69,true,true,true,true,true,false,true,
persistent,"Cybersecurity experts say infiltrators are persistent, clever and part of an industrial-scale hacking economy.",11732700,77,true,true,true,true,true,false,true,rare context tokens=1
available,The evidence-based approach to gender-affirming care is to make it more available.,11740199,88,true,true,true,true,true,false,true,
schedule,I'm still trying to sort my schedule out.,10101905,80,true,true,true,true,true,false,true,
disguise,"Nowadays, a lot of imperialists disguise their true intentions in the language of anti-imperialism.",11053297,86,true,true,true,true,true,false,true,
smash,Smash the boiled pumpkin pieces then add some salt and spices.,8289410,88,true,true,true,true,true,false,true,
dispose,How should I dispose of used needles or sharps?,9805157,92,true,true,true,true,true,false,true,
scandal,A cheating scandal threatens to blemish the university's reputation for excellence.,11462429,100,true,true,true,true,true,false,true,
pressure,Can they resist the pressure of the revolution?,12765487,89,true,true,true,true,true,false,true,
alien,Landing on an alien planet is a dream many scientists hope to achieve.,12759640,94,true,true,true,true,true,false,true,
cater,This restaurant does not cater for vegans.,9004022,66,true,true,true,true,true,false,true,standalone penalty=10
exchange,The stock exchange has been chalking up extraordinary numbers.,11170654,85,true,true,true,true,true,false,true,rare context tokens=1
fertilizer,Algal overload is common in waterways worldwide caused by fertilizer runoff and poor sewage management.,11233041,75,true,true,true,true,true,false,true,rare context tokens=1
virtual,Tom's bird learned to turn on his virtual assistant.,10349071,88,true,true,true,true,true,false,true,
velvet,The palace windows were draped with velvet curtains.,12775955,86,true,true,true,true,true,false,true,
cable,The five-and-a-half-meter-diameter balloon is tethered with a winch cable to an airport pickup truck.,11305462,83,true,true,true,true,true,false,true,rare context tokens=1
cycle,Can we ever break free from the cycle of existence?,12778582,95,true,true,true,true,true,false,true,
deserve,What did this company's hardworking employees do to deserve such bosses?,12187601,91,true,true,true,true,true,false,true,rare context tokens=1
compartment,Tom's duffel bag didn't fit in the overhead compartment.,10220448,75,true,true,true,true,true,false,true,rare context tokens=1
credit,I took out a loan to consolidate my credit card debt.,11076065,97,true,true,true,true,true,false,true,
collapse,The whole thing is about to collapse.,10320564,66,true,true,true,true,true,false,true,
routine,Mary's skincare routine is her daily moment of peace.,12768410,92,true,true,true,true,true,false,true,
appeal,I'm trying to appeal to the reasonable side of people.,11051474,95,true,true,true,true,true,false,true,
endure,"The mountains endure, as we must.",12769181,68,true,true,true,true,true,false,true,
figure,I'm trying to figure out whether I can leave the state.,8790862,98,true,true,true,true,true,false,true,
threaten,Rebellious teenagers often threaten to run away from home.,12110954,85,true,true,true,true,true,false,true,rare context tokens=1
essence,Privacy protects the essence of who we are.,12767857,84,true,true,true,true,true,false,true,
preclude,But for the moment his sense of relief was so great as to preclude all other feelings.,11261835,80,true,true,true,true,true,false,true,
intrinsic,Tom lacks intrinsic motivation to study French.,9694653,70,true,true,true,true,true,false,true,proper-noun penalty=1
sue,"They probably wouldn't sue us over such a minor mistake, but we might as well double-check the contract.",11011678,53,true,true,true,true,true,false,true,rare context tokens=1; standalone penalty=10
clockwise,"Rotating it clockwise will tighten it, while rotating it counterclockwise will loosen it.",12382826,81,true,true,true,true,true,false,true,rare context tokens=1
ambition,Is there a limit to human ambition?,12775028,66,true,true,true,true,true,false,true,
band,The band played a mix of covers and original songs.,11751685,91,true,true,true,true,true,false,true,
community,Sandra began her community service after earning a graduate degree in gerontology.,11829784,98,true,true,true,true,true,false,true,
respective,Our respective favorite shows are doing a crossover episode.,12338125,89,true,true,true,true,true,false,true,
jeopardize,This could jeopardize the whole operation.,12399987,64,true,true,true,true,true,false,true,standalone penalty=10
