word,sentenceId,sentence,decision,categories,rationale,reviewType,seed,semanticDecisionSource,defaultLearningAppropriateness,targetTeachingValue,contextVocabularyLoad,syntaxSimplicity,standaloneClarity,topicNeutrality,naturalModernEnglish,finalEditorDecision,severeInappropriate
variation,9454240,The latest variation of the classic tinfoil hat is the tinfoil beret.,reject,context-too-hard; weak-teaching-value,"Tinfoil hats and a tinfoil beret require niche conspiracy imagery, so variation is not shown in a normal default context.",phase-a-post-curation-review,216485891,sentence-read,NO,FAIL,FAIL,PASS,PASS,PASS,PASS,FAIL,false
drill,12765196,They maintained order during the citywide emergency drill.,pass,,"Maintaining order during an emergency drill gives drill a clear, ordinary practice-event meaning.",phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
irony,12772555,Can you see the irony in this situation?,pass,,The direct question asks the learner to identify irony in a familiar situation and keeps the target central.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
generous,11027274,Her seemingly generous actions turned out to be motivated purely by profit.,pass,,Actions that look generous but have a profit motive clearly illustrate the target contrast.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
stump,12389891,There's a tree stump at the bottom of the lake.,pass,,"A tree stump at the bottom of a lake is a concrete, self-contained noun context.",phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
beyond,12759685,Explorers may one day travel beyond our solar system to other stars.,pass,,Traveling beyond the solar system gives beyond a clear spatial-extension meaning.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
region,12765292,They worked to ensure that peace was maintained across the region.,pass,,Peace being maintained across a region gives region a simple geographic meaning.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
complain,9805215,How do I complain about my dental treatment?,pass,,The question about complaining about dental treatment is an ordinary service problem that clearly shows complain.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
spice,9942974,Tom bought a new kind of pasta from the store to spice things up a bit.,pass,,Spice things up is a common figurative expression built on the familiar food meaning of spice.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
poverty,11522329,Bangladesh has made significant progress in reducing poverty and improving health and education in recent years.,pass,,The country example connects poverty to concrete progress in health and education without needing political background.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
